Date,Open,High,Low,Close,Volume,Adj Close,Diff,StockUp,Year,Month,Day
2015-03-31,126.089996,126.489998,124.360001,124.43,42090600,122.165384,1.659996,1,2015,3,31
2015-03-30,124.050003,126.400002,124,126.370003,47099700,124.070079,-2.32,0,2015,3,30
2015-03-27,124.57,124.699997,122.910004,123.25,39546200,121.00686,1.32,1,2015,3,27
2015-03-26,122.760002,124.879997,122.599998,124.239998,47572900,121.97884,-1.479996,0,2015,3,26
2015-03-25,126.540001,126.82,123.379997,123.379997,51655200,121.134491,3.160004,1,2015,3,25
2015-03-24,127.230003,128.039993,126.559998,126.690002,32842300,124.384254,0.540001,1,2015,3,24
2015-03-23,127.120003,127.849998,126.519997,127.209999,37709700,124.894787,-0.089996,0,2015,3,23
2015-03-20,128.25,128.399994,125.160004,125.900002,68695100,123.608631,2.349998,1,2015,3,20
2015-03-19,128.75,129.25,127.400002,127.5,45809500,125.17951,1.25,1,2015,3,19
2015-03-18,127,129.160004,126.370003,128.470001,65270900,126.131857,-1.470001,0,2015,3,18
2015-03-17,125.900002,127.32,125.650002,127.040001,51023100,124.727883,-1.139999,0,2015,3,17
2015-03-16,123.879997,124.949997,122.870003,124.949997,35874300,122.675917,-1.07,0,2015,3,16
2015-03-13,124.400002,125.400002,122.580002,123.589996,51827300,121.340668,0.810006,1,2015,3,13
2015-03-12,122.309998,124.900002,121.629997,124.449997,48362700,122.185017,-2.139999,0,2015,3,12
2015-03-11,124.75,124.769997,122.110001,122.239998,68939000,120.01524,2.510002,1,2015,3,11
2015-03-10,126.410004,127.220001,123.800003,124.510002,68856600,122.24393,1.900002,1,2015,3,10
2015-03-09,127.959999,129.570007,125.059998,127.139999,88528500,124.826061,0.82,1,2015,3,9
2015-03-06,128.399994,129.369995,126.260002,126.599998,72842100,124.295889,1.799996,1,2015,3,6
2015-03-05,128.580002,128.75,125.760002,126.410004,56517100,124.109352,2.169998,1,2015,3,5
2015-03-04,129.100006,129.559998,128.320007,128.539993,31666300,126.200576,0.560013,1,2015,3,4
2015-03-03,128.960007,129.520004,128.089996,129.360001,37816300,127.005659,-0.399994,0,2015,3,3
2015-03-02,129.25,130.279999,128.300003,129.089996,48096700,126.740569,0.160004,1,2015,3,2
2015-02-27,130,130.570007,128.240005,128.460007,62014800,126.122045,1.539993,1,2015,2,27
2015-02-26,128.789993,130.869995,126.610001,130.419998,91287500,128.046365,-1.630005,0,2015,2,26
2015-02-25,131.559998,131.600006,128.149994,128.789993,74711700,126.446026,2.770005,1,2015,2,25
2015-02-24,132.940002,133.600006,131.169998,132.169998,69228100,129.764515,0.770004,1,2015,2,24
2015-02-23,130.020004,133,129.660004,133,70974100,130.579411,-2.979996,0,2015,2,23
2015-02-20,128.619995,129.5,128.050003,129.5,48948400,127.14311,-0.880005,0,2015,2,20
2015-02-19,128.479996,129.029999,128.330002,128.449997,37362400,126.112217,0.029999,1,2015,2,19
2015-02-18,127.629997,128.779999,127.449997,128.720001,44891700,126.377307,-1.090004,0,2015,2,18
2015-02-17,127.489998,128.880005,126.919998,127.830002,63152400,125.503506,-0.340004,0,2015,2,17
2015-02-13,127.279999,127.279999,125.650002,127.080002,54272200,124.767156,0.199997,1,2015,2,13
2015-02-12,126.059998,127.480003,125.57,126.459999,74474500,124.158437,-0.400001,0,2015,2,12
2015-02-11,122.769997,124.919998,122.5,124.879997,73561800,122.607191,-2.11,0,2015,2,11
2015-02-10,120.169998,122.150002,120.160004,122.019997,62008500,119.799242,-1.849999,0,2015,2,10
2015-02-09,118.550003,119.839996,118.43,119.720001,38889800,117.541107,-1.169998,0,2015,2,9
